step,tokens,loss,throughput
1,3200,11.017108917236328,745.6429840735141
2,6400,9.541115760803223,768.8408839198331
3,9600,8.882340431213379,783.3260961883489
4,12800,8.537254333496094,788.6227069880456
5,16000,8.123515129089355,786.3070352195591
